,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,agent,company,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests
is_canceled,1.0,0.18480558777334355,0.08803011106055988,0.0014431879657727598,0.005327631904828528,0.060190831562554316,0.08292794686139211,0.08181605438544493,0.0673691363727529,-0.02054271494275681,-0.08964285482016715,0.051467648018743775,-0.05215366627727607,-0.09364363911868362,-0.006841172514291154,-0.008229742077140669,0.004464395430353216,0.12798555087464242,-0.18420628069949135,-0.12054505835074159
lead_time,0.18480558777334355,1.0,0.13913488799316318,0.10115044253157852,0.009866427450043444,0.2351452151800054,0.3101289814585665,0.1404927716703671,0.028649565844722696,-0.003613726502823397,-0.147003008288961,0.0053745731377223115,-0.07893139988192262,0.07702799132048027,0.07248627949703461,0.01891364860968586,0.1321519223895102,0.02356422769190418,-0.08654079439202562,0.0342398862581844
arrival_date_year,0.08803011106055988,0.13913488799316318,1.0,-0.514227830100945,-0.010022845332771806,0.0051435813932703515,0.00364529450596196,0.038618809073738325,0.04115827295557221,-0.023334150045581866,0.02434272416892174,-0.0542121072164028,0.027255759229771314,0.008604393326563025,-0.004298784673491774,0.059419414555663276,-0.027939254413248002,0.176088386334272,-0.03980663255379579,0.06426832953587462
arrival_date_week_number,0.0014431879657727598,0.10115044253157852,-0.514227830100945,1.0,0.09359395917258702,0.02686777930352619,0.027801222027846018,0.024361606966724726,0.01345017732109277,0.014260202286458688,-0.036859773324147006,0.0071985186831707145,-0.02081944220917782,0.0119022011018468,0.01919213593728849,-0.026607206133321522,0.013843180723049039,0.09827932173685833,0.00894623477883928,0.046599020174224515
arrival_date_day_of_month,0.005327631904828528,0.009866427450043444,-0.010022845332771806,0.09359395917258702,1.0,-0.01780274509687508,-0.028189984496491734,-0.0011251769557268523,0.01582076100748747,-0.00039334465444858425,-0.004177656074050321,-0.008538286292817134,0.00015187918076089684,0.006306771745046937,0.006437783080818803,0.006952856198959383,0.006588340495163571,0.02259092163929536,0.009167156018411275,-0.0016507143148845342
stays_in_weekend_nights,0.060190831562554316,0.2351452151800054,0.0051435813932703515,0.02686777930352619,-0.01780274509687508,1.0,0.5555519377911462,0.0882843530648642,0.02856124663051225,0.013667666439285549,-0.10694818186065311,-0.02063573873623816,-0.05665286824897179,0.050316233058768436,0.15342359148899812,-0.0025834503832437507,-0.03168035753906737,0.038972433995002706,-0.042920180464555646,0.0323963242021035
stays_in_week_nights,0.08292794686139211,0.3101289814585665,0.00364529450596196,0.027801222027846018,-0.028189984496491734,0.5555519377911462,1.0,0.0955769677498832,0.030479357033003703,0.01600865440463124,-0.11354312253977088,-0.018781423334152055,-0.05850290760969569,0.08504390961098714,0.18566472577324666,0.019807586831335353,0.0019048201101929372,0.05329819954561582,-0.04430311876514234,0.03782285748845314
adults,0.08181605438544493,0.1404927716703671,0.038618809073738325,0.024361606966724726,-0.0011251769557268523,0.0882843530648642,0.0955769677498832,1.0,0.023712234913614745,0.016640173379947203,-0.17171403419645295,-0.042097363879185896,-0.12091351335414562,-0.048061443306141746,0.021480231984795692,0.014573268101949186,-0.015739621957362303,0.24899934124006856,0.00780233306914425,0.11277228147214434
children,0.0673691363727529,0.028649565844722696,0.04115827295557221,0.01345017732109277,0.01582076100748747,0.02856124663051225,0.030479357033003703,0.023712234913614745,1.0,0.017423018093783445,-0.045651040456349774,-0.01920759118399647,-0.029423466437287403,0.031312809801197654,0.04009248880072993,-0.003208096826810826,-0.02041856172596571,0.3262925695946618,0.03633207394961677,0.04459605797257018
babies,-0.02054271494275681,-0.003613726502823397,-0.023334150045581866,0.014260202286458688,-0.00039334465444858425,0.013667666439285549,0.01600865440463124,0.016640173379947203,0.017423018093783445,1.0,-0.012977243785938513,-0.005394846309146616,-0.009192515270628277,0.08103461918667018,0.029631412048092408,0.0013965579886310508,-0.006839608073299109,0.023445598289713737,0.030884598153731957,0.09482023588109074
is_repeated_guest,-0.08964285482016715,-0.147003008288961,0.02434272416892174,-0.036859773324147006,-0.004177656074050321,-0.10694818186065311,-0.11354312253977088,-0.17171403419645295,-0.045651040456349774,-0.012977243785938513,1.0,0.20637433365116295,0.44145569636127213,0.0060471984117245175,-0.05186265848703557,-0.11448693636524586,-0.012815825409083286,-0.1530404785976325,0.07201910659406265,-0.0013207380883240737
previous_cancellations,0.051467648018743775,0.0053745731377223115,-0.0542121072164028,0.0071985186831707145,-0.008538286292817134,-0.02063573873623816,-0.018781423334152055,-0.042097363879185896,-0.01920759118399647,-0.005394846309146616,0.20637433365116295,1.0,0.3920640834740248,-0.010268537545853067,-0.030086751410545485,-0.07381909469494582,0.0036817539145190424,-0.050267189215698456,-0.003399025946703782,0.0018706463723042125
